3883,CHINA AOYUAN,"HK$4.710
0.000 (0.00%)",-,12.63B,6.19x,6.58%
189,DONGYUE GROUP,"HK$4.570
0.000 (0.00%)",-,9.65B,4.84x,6.56%
1883,CITIC TELECOM,"HK$2.590
0.000 (0.00%)",-,9.24B,10.41x,6.56%
152,SHENZHEN INT'L,"HK$15.480
0.000 (0.00%)",-,32.71B,8.03x,6.46%
1999,MAN WAH HLDGS,"HK$3.880
0.000 (0.00%)",-,14.83B,9.65x,6.44%
998,CITIC BANK,"HK$4.990
0.000 (0.00%)",-,74.26B,4.78x,6.43%
754,HOPSON DEV HOLD,"HK$6.300
0.000 (0.00%)",-,14.02B,2.42x,6.35%
54,HOPEWELL HOLD,"HK$24.900
0.000 (0.00%)",-,21.62B,2.41x,6.32%
272,SHUI ON LAND,"HK$1.690
0.000 (0.00%)",-,13.62B,6.56x,6.27%
1728,ZHENGTONGAUTO,"HK$3.840
0.000 (0.00%)",-,9.42B,5.76x,6.25%
836,CHINA RES POWER,"HK$14.080
0.000 (0.00%)",-,67.73B,14.55x,6.21%
6818,CEB BANK,"HK$3.550
0.000 (0.00%)",-,45.00B,4.44x,6.19%
2066,SHENGJINGBANK,"HK$3.570
0.000 (0.00%)",-,5.50B,2.20x,6.18%
2338,WEICHAI POWER,"HK$8.310
0.000 (0.00%)",-,16.14B,7.81x,6.17%
868,XINYI GLASS,"HK$8.600
0.000 (0.00%)",-,34.39B,8.50x,6.16%
3311,CHINA STATE CON,"HK$5.690
0.000 (0.00%)",-,28.72B,4.79x,6.15%
3988,BANK OF CHINA,"HK$3.440
0.000 (0.00%)",-,287.66B,4.93x,6.15%
991,DATANG POWER,"HK$1.830
0.000 (0.00%)",-,11.18B,11.44x,6.13%
813,SHIMAO PROPERTY,"HK$18.000
0.000 (0.00%)",-,59.46B,6.19x,6.11%
3308,GOLDEN EAGLE,"HK$8.590
0.000 (0.00%)",-,14.33B,9.09x,6.11%
3808,SINOTRUK,"HK$11.460
0.000 (0.00%)",-,31.64B,8.45x,6.11%
2380,CHINA POWER,"HK$1.650
0.000 (0.00%)",-,16.18B,13.30x,6.10%
1288,ABC,"HK$3.620
0.000 (0.00%)",-,111.27B,5.02x,6.09%
5,HSBC HOLDINGS,"HK$65.900
0.000 (0.00%)",-,"1,334.68B",17.43x,6.06%
3382,TIANJINPORT DEV,"HK$0.830
0.000 (0.00%)",-,5.11B,6.60x,6.06%
1052,YUEXIUTRANSPORT,"HK$6.280
0.000 (0.00%)",-,10.50B,8.93x,6.05%
6823,HKT-SS,"HK$10.880
0.000 (0.00%)",-,82.38B,16.16x,6.05%
1828,DCH HOLDINGS,"HK$2.820
0.000 (0.00%)",-,5.31B,6.45x,6.01%
2314,LEE & MAN PAPER,"HK$6.670
0.000 (0.00%)",-,29.30B,5.98x,6.00%
62,TRANSPORT INT'L,"HK$20.100
0.000 (0.00%)",-,8.73B,6.46x,5.97%
373,ALLIED GROUP,"HK$41.850
0.000 (0.00%)",-,7.35B,2.28x,5.97%
165,CHINA EB LTD,"HK$14.480
0.000 (0.00%)",-,24.40B,5.88x,5.94%
3328,BANKCOMM,"HK$6.010
0.000 (0.00%)",-,210.42B,5.30x,5.92%
323,MAANSHAN IRON,"HK$4.340
0.000 (0.00%)",-,7.52B,6.53x,5.91%
1088,CHINA SHENHUA,"HK$19.120
0.000 (0.00%)",-,64.98B,6.42x,5.90%
1680,MACAU LEGEND,"HK$1.360
0.000 (0.00%)",-,8.52B,-,5.88%
2238,GAC GROUP,"HK$8.430
0.000 (0.00%)",-,26.12B,5.64x,5.85%
576,ZHEJIANGEXPRESS,"HK$6.180
0.000 (0.00%)",-,8.86B,6.76x,5.83%
35,FE CONSORT INTL,"HK$3.790
0.000 (0.00%)",-,8.85B,5.48x,5.80%
698,TONGDA GROUP,"HK$1.000
0.000 (0.00%)",-,6.29B,5.95x,5.80%
4,WHARF HOLDINGS,"HK$20.850
0.000 (0.00%)",-,63.53B,2.89x,5.76%
144,CHINA MER PORT,"HK$14.080
0.000 (0.00%)",-,46.81B,7.66x,5.75%
1030,FUTURE LAND,"HK$4.690
0.000 (0.00%)",-,27.70B,5.64x,5.75%
2007,COUNTRY GARDEN,"HK$9.060
0.000 (0.00%)",-,196.30B,5.96x,5.73%
683,KERRY PPT,"HK$25.400
0.000 (0.00%)",-,36.96B,3.97x,5.71%
1313,CHINARES CEMENT,"HK$7.560
0.000 (0.00%)",-,52.79B,13.66x,5.69%
363,SHANGHAI IND H,"HK$16.980
0.000 (0.00%)",-,18.46B,5.86x,5.65%
1308,SITC,"HK$6.200
0.000 (0.00%)",-,16.53B,11.12x,5.65%
3380,LOGAN PPT,"HK$8.010
0.000 (0.00%)",-,43.95B,5.52x,5.62%
1382,PACIFICTEXTILES,"HK$8.040
0.000 (0.00%)",-,11.62B,15.63x,5.60%
369,WING TAI PPT,"HK$5.120
0.000 (0.00%)",-,6.90B,3.48x,5.57%
3618,CQRC BANK,"HK$4.500
0.000 (0.00%)",-,11.31B,3.84x,5.52%
163,EMPEROR INT'L,"HK$1.960
0.000 (0.00%)",-,7.20B,2.14x,5.51%
3998,BOSIDENG,"HK$1.360
0.000 (0.00%)",-,14.52B,19.65x,5.51%
3606,FUYAO GLASS,"HK$25.100
0.000 (0.00%)",-,12.69B,16.12x,5.50%
119,POLY PROPERTY,"HK$2.470
0.000 (0.00%)",-,9.04B,3.67x,5.47%
1368,XTEP INT'L,"HK$4.620
0.000 (0.00%)",-,10.36B,19.79x,5.41%
819,TIANNENG POWER,"HK$6.860
0.000 (0.00%)",-,7.72B,5.29x,5.39%
1578,BANK OF TIANJIN,"HK$4.130
0.000 (0.00%)",-,7.28B,5.17x,5.38%
2638,HKELECTRIC-SS,"HK$7.480
0.000 (0.00%)",-,66.09B,19.78x,5.35%
105,ASSO INT HOTELS,"HK$22.300
0.000 (0.00%)",-,8.02B,50.38x,5.34%
173,K. WAH INT'L,"HK$3.570
0.000 (0.00%)",-,11.15B,2.79x,5.32%
1788,GUOTAI JUNAN I,"HK$1.470
0.000 (0.00%)",-,11.34B,8.29x,5.31%
489,DONGFENG GROUP,"HK$7.910
0.000 (0.00%)",-,22.58B,3.87x,5.28%
1398,ICBC,"HK$5.490
0.000 (0.00%)",-,476.49B,5.55x,5.28%
1528,RS MACALLINE,"HK$7.420
0.000 (0.00%)",-,5.00B,5.28x,5.28%
939,CCB,"HK$6.590
0.000 (0.00%)",-,"1,584.35B",5.43x,5.24%
178,SA SA INT'L,"HK$3.370
0.000 (0.00%)",-,10.42B,23.03x,5.19%
177,JIANGSU EXPRESS,"HK$10.480
0.000 (0.00%)",-,12.80B,11.87x,5.13%
968,XINYI SOLAR,"HK$2.970
0.000 (0.00%)",-,22.74B,9.11x,5.05%
101,HANG LUNG PPT,"HK$14.980
0.000 (0.00%)",-,67.37B,8.29x,5.01%
468,GAPACK,"HK$5.220
0.000 (0.00%)",-,6.97B,16.32x,4.98%
548,SHENZHENEXPRESS,"HK$7.410
0.000 (0.00%)",-,5.53B,9.14x,4.96%
659,NWS HOLDINGS,"HK$15.800
0.000 (0.00%)",-,61.60B,10.14x,4.94%
960,LONGFOR GROUP,"HK$20.900
0.000 (0.00%)",-,123.95B,7.77x,4.91%
3306,JNBY,"HK$14.460
0.000 (0.00%)",-,7.50B,15.69x,4.91%
1310,HKBN,"HK$11.440
0.000 (0.00%)",-,11.50B,28.88x,4.90%
28,TIAN AN,"HK$4.120
0.000 (0.00%)",-,6.20B,3.02x,4.85%
1551,GRCB,"HK$5.050
0.000 (0.00%)",-,9.19B,6.42x,4.85%
992,LENOVO GROUP,"HK$5.550
0.000 (0.00%)",-,66.68B,14.64x,4.77%
2016,CZBANK,"HK$4.360
0.000 (0.00%)",-,19.85B,6.15x,4.73%
56,ALLIED PPT (HK),"HK$1.700
0.000 (0.00%)",-,11.58B,2.90x,4.71%
1212,LIFESTYLE INT'L,"HK$13.600
0.000 (0.00%)",-,20.42B,6.61x,4.69%
751,SKYWORTHDIGITAL,"HK$1.940
0.000 (0.00%)",-,5.93B,10.83x,4.64%
3996,CH ENERGY ENG,"HK$0.800
0.000 (0.00%)",-,7.40B,3.64x,4.61%
17,NEW WORLD DEV,"HK$10.460
0.000 (0.00%)",-,106.83B,4.47x,4.59%
3958,DFZQ,"HK$5.390
0.000 (0.00%)",-,5.53B,7.57x,4.57%
207,JOY CITY PPT,"HK$0.880
0.000 (0.00%)",-,12.52B,9.45x,4.55%
941,CHINA MOBILE,"HK$74.850
0.000 (0.00%)",-,"1,532.58B",10.81x,4.55%
116,CHOW SANG SANG,"HK$12.600
0.000 (0.00%)",-,8.53B,9.73x,4.52%
2039,CIMC,"HK$7.380
0.000 (0.00%)",-,12.66B,7.28x,4.48%
6066,CSC,"HK$4.610
0.000 (0.00%)",-,5.81B,7.29x,4.46%
2678,TEXHONG TEXTILE,"HK$9.880
0.000 (0.00%)",-,9.04B,6.35x,4.45%
51,HARBOUR CENTRE,"HK$14.200
0.000 (0.00%)",-,10.06B,7.63x,4.44%
288,WH GROUP,"HK$6.100
0.000 (0.00%)",-,89.52B,10.04x,4.43%
71,MIRAMAR HOTEL,"HK$13.620
0.000 (0.00%)",-,9.41B,5.40x,4.41%
693,TAN CHONG INT'L,"HK$2.500
0.000 (0.00%)",-,5.03B,10.03x,4.40%
1128,WYNN MACAU,"HK$17.060
0.000 (0.00%)",-,88.66B,23.89x,4.40%
2333,GREATWALL MOTOR,"HK$4.780
0.000 (0.00%)",-,14.81B,7.00x,4.40%
687,HKICIM GROUP,"HK$2.280
0.000 (0.00%)",-,7.66B,912.00x,4.39%
2388,BOC HONG KONG,"HK$29.650
0.000 (0.00%)",-,313.48B,10.09x,4.39%
546,FUFENG GROUP,"HK$3.510
0.000 (0.00%)",-,8.93B,4.92x,4.33%
16,SHK PPT,"HK$107.600
0.000 (0.00%)",-,311.73B,6.24x,4.32%
1776,GF SEC,"HK$11.120
0.000 (0.00%)",-,18.92B,7.96x,4.32%
1816,CGN POWER,"HK$1.940
0.000 (0.00%)",-,21.65B,7.49x,4.30%
6099,CMSC,"HK$9.820
0.000 (0.00%)",-,9.62B,10.06x,4.30%
12,HENDERSON LAND,"HK$37.950
0.000 (0.00%)",-,167.02B,5.49x,4.26%
883,CNOOC,"HK$14.160
0.000 (0.00%)",-,632.20B,20.56x,4.24%
535,GEMDALE PPT,"HK$0.730
0.000 (0.00%)",-,11.58B,5.66x,4.23%
2329,GUORUI PPT,"HK$1.910
0.000 (0.00%)",-,8.48B,3.87x,4.23%
2727,SH ELECTRIC,"HK$2.710
0.000 (0.00%)",-,8.05B,11.62x,4.23%
347,ANGANG STEEL,"HK$6.750
0.000 (0.00%)",-,7.32B,7.01x,4.20%
3900,GREENTOWN CHINA,"HK$5.960
0.000 (0.00%)",-,12.91B,6.19x,4.19%
23,BANK OF E ASIA,"HK$26.550
0.000 (0.00%)",-,75.54B,8.27x,4.18%
1618,MCC,"HK$1.990
0.000 (0.00%)",-,5.71B,6.14x,4.15%
945,MANULIFE-S,"HK$134.000
0.000 (0.00%)",-,265.95B,21.98x,4.13%
1038,CKI HOLDINGS,"HK$57.850
0.000 (0.00%)",-,153.34B,14.21x,4.13%
2232,CRYSTAL INTL,"HK$3.950
0.000 (0.00%)",-,11.26B,8.17x,4.13%
2588,BOC AVIATION,"HK$61.050
0.000 (0.00%)",-,42.36B,9.26x,4.11%
590,LUK FOOK HOLD,"HK$26.850
0.000 (0.00%)",-,15.76B,11.51x,4.10%
1997,WHARF REIC,"HK$48.950
0.000 (0.00%)",-,148.62B,8.63x,4.09%
315,SMARTONE TELE,"HK$10.060
0.000 (0.00%)",-,11.27B,18.15x,4.08%
1668,CHINASOUTHCITY,"HK$1.230
0.000 (0.00%)",-,9.98B,2.18x,4.07%
1044,HENGAN INT'L,"HK$63.500
0.000 (0.00%)",-,76.58B,16.25x,4.05%
1111,CHONG HING BANK,"HK$13.920
0.000 (0.00%)",-,13.53B,6.41x,4.02%
1800,CHINA COMM CONS,"HK$7.530
0.000 (0.00%)",-,33.33B,4.91x,4.00%
